Booking ID,Booking Date,Booking Time,Customer ID,Driver ID,Vehicle Type,Pickup Location,Drop Location,Ride Distance (km),Booking Status,Cancellation Reason,Payment Method,Booking Value (INR),Driver Rating,Customer Rating,Ride Duration (min)
OLA100464,2024-01-01,16:16:00,CUST1006,DRV434,SEDAN,airport (kia),Sarjapur Road,14.4,Success,,Credit Card,240.82,4.4,3.5,38.0
OLA100076,2024-05-09,08:00:00,CUST1144,DRV352,Bike,Sarjapur Road,AIRPORT (KIA),12.5,Success,,Debit Card,115.96,5.0,4.9,34.3
OLA100978,2024-03-29,17:45:00,CUST1065,DRV447,BIKE,AIRPORT (KIA), Rajajinagar ,7.0,Success,,Ola Money,77.62,4.7,5.0,22.6
OLA101423,2024-04-19,11:59:00,CUST1060,DRV432,Sedan,Indiranagar,Rajajinagar,11.9,Success,,debit card,207.43,5.0,4.2,28.4
OLA100724,2024-02-11,07:01:00,CUST1310,DRV251,Mini,MG Road, Sarjapur Road ,11.0,Success,, UPI ,158.24,4.5,4.3,26.2
OLA101046,2024-01-06,18:18:00,CUST1284,DRV451,PRIME,Bellandur,sarjapur road,5.4,Success,,upi,126.95,4.1,4.7,13.4
OLA100815,2024-03-09,08:40:00,CUST1413,DRV402,Mini,BTM Layout,KR Puram,17.9,Cancelled by Driver,Vehicle breakdown,,0.0,,,0.0
OLA100951,2024-03-06,01:54:00,CUST1439,DRV380,SUV,Indiranagar,Marathahalli,5.3,Success,,UPI,120.89,4.8,5.0,18.2
OLA100989,2024-05-23,07:55:00,CUST1250,DRV503,Mini,Electronic City,RAJAJINAGAR,1.8,Success,,UPI,53.29,4.1,4.6,9.2
OLA100071,2024-05-20,03:05:00,CUST1161,DRV329,sedan,Bellandur,JP Nagar,,Success,,UPI,309.95,4.7,4.4,43.2
OLA100557,2024-04-16,07:37:00,CUST1306,DRV244,Mini,hebbal,malleshwaram,9.4,Success,,Cash,148.05,4.9,4.6,32.4
OLA100574,2024-04-29,06:08:00,CUST1253,DRV384,Auto,JP NAGAR,Indiranagar,11.9,Success,,credit card,112.67,4.5,3.6,35.3
OLA101476,2024-05-22,17:40:00,CUST1268,,BIKE,Koramangala,Domlur,3.9,Driver Not Found,No drivers available in area,,0.0,,,0.0
OLA100293,2024-06-01,08:58:00,CUST1372,DRV234,MINI,jp nagar,Bellandur,8.5,Cancelled by Customer,Price too high,,0.0,,,0.0
OLA101473,2024-04-14,12:42:00,CUST1071,DRV227,Mini,Whitefield,electronic city,7.6,Success,,UPI,101.98,4.5,3.7,26.1
OLA100682,2024-05-30,07:04:00,CUST1065,DRV332,Bike,btm layout,JP Nagar,7.9,Success,, Wallet ,84.27,4.5,4.9,18.0
OLA100688,2024-03-01,21:49:00,CUST1307,DRV517,Sedan,mg road,Airport (KIA),1.8,Success,,UPI,57.57,3.9,4.8,7.9
OLA101212,2024-02-29,21:55:00,CUST1070,DRV456,SEDAN,Bellandur,rajajinagar,2.1,Success,,Credit Card,44.98,4.2,4.4,11.1
OLA100644,2024-05-22,08:09:00,CUST1436,DRV463,SUV,MG Road,Indiranagar,6.7,Success,,UPI,163.4,4.3,4.7,23.5
OLA101001,2024-01-24,20:39:00,CUST1075,,Mini,KORAMANGALA,banashankari,4.8,Driver Not Found,No drivers available in area,,0.0,,,0.0
OLA100753,2024-04-02,17:24:00,CUST1312,DRV229,PRIME,YELAHANKA,MG Road,6.7,Cancelled by Customer,Found alternate transport,,0.0,,,0.0
OLA101267,2024-04-07,02:48:00,CUST1139,DRV305, Bike ,Airport (KIA),Rajajinagar,10.4,Success,,Credit Card,101.09,,,32.7
OLA101149,2024-03-19,20:47:00,CUST1292,DRV477,mini,Yelahanka,indiranagar,8.3,Success,,Wallet,122.33,4.0,4.6,25.5
OLA101406,2024-02-19,18:25:00,CUST1277,DRV276,Mini,HEBBAL,JP Nagar,14.8,Cancelled by Driver,Vehicle breakdown,,0.0,,,0.0
OLA101436,2024-06-12,08:08:00,CUST1349,DRV472,Auto,marathahalli, Rajajinagar ,5.8,Success,,Ola Money,86.31,4.4,3.5,16.4
OLA101154,2024-02-22,21:41:00,CUST1377,DRV339,SEDAN,Koramangala,KR Puram,6.0,Success,,Debit Card,123.71,,,15.2
OLA101446,2024-03-30,11:56:00,CUST1070,DRV369, SUV ,RAJAJINAGAR,KR Puram,3.8,Success,,debit card,85.15,3.5,3.1,12.9
OLA100541,2024-02-23,18:05:00,CUST1317,DRV371,Auto,Indiranagar, JP Nagar ,3.9,Success,,upi,74.56,4.1,4.0,10.4
OLA101175,2024-02-08,07:07:00,CUST1272,DRV516,Sedan,jp nagar,Sarjapur Road,6.3,Success,,UPI,122.06,4.5,4.1,24.3
OLA100666,2024-05-27,18:36:00,CUST1267,DRV296,Auto,MALLESHWARAM,KORAMANGALA,3.2,Cancelled by Driver,Customer not reachable,,0.0,,,0.0
OLA100496,2024-02-09,09:55:00,CUST1343,DRV264,Mini, Whitefield ,Koramangala,10.0,Cancelled by Driver,Personal emergency,,0.0,,,0.0
OLA100518,2024-04-03,14:21:00,CUST1041,DRV435,Auto,Hebbal,Jayanagar,9.9,Success,,CREDIT CARD,99.5,4.7,5.0,28.6
OLA101291,2024-03-07,15:35:00,CUST1416,DRV369,AUTO,Yelahanka,jp nagar,1.5,Success,,UPI,31.67,4.3,3.9,8.3
OLA100203,2024-06-15,18:05:00,CUST1207,DRV394,Sedan,airport (kia),Indiranagar,5.5,Success,,Credit Card,111.1,4.3,4.1,24.3
OLA101010,2024-03-22,20:10:00,CUST1300,DRV387,SUV,Bellandur,KR Puram,6.9,Success,,cash,164.33,4.9,4.5,28.8
OLA100864,2024-02-14,11:20:00,CUST1264,DRV281,Sedan,mg road, HSR Layout ,5.9,Success,,credit card,112.73,,,19.3
OLA100575,2024-06-24,22:28:00,CUST1115,DRV483,Sedan,Rajajinagar,Jayanagar,2.2,Cancelled by Driver,Personal emergency,,0.0,,,0.0
OLA101290,2024-06-21,13:05:00,CUST1342,,Bike,Yelahanka,Bellandur,5.7,Driver Not Found,No drivers available in area,,0.0,,,0.0
OLA100913,2024-05-10,18:03:00,CUST1359,DRV304,SUV,JP Nagar, Airport (KIA) ,5.1,Cancelled by Driver,Customer not reachable,,0.0,,,0.0
OLA100462,2024-05-10,16:10:00,CUST1193,DRV481,Sedan,HSR Layout,Banashankari,7.1,Success,,UPI,131.36,4.1,4.9,28.4
OLA100690,2024-01-25,16:26:00,CUST1119,DRV506,AUTO,Domlur,Koramangala,4.1,Success,,UPI,61.4,5.0,4.1,16.0
OLA100948,2024-04-28,01:00:00,CUST1238,DRV218, Prime ,airport (kia),Sarjapur Road,,Success,,Credit Card,65.54,4.0,4.7,7.9
OLA100569,2024-05-03,18:02:00,CUST1100,DRV255,Mini,MALLESHWARAM,DOMLUR,2.8,Success,,credit card,47.58,,,10.2
OLA101366,2024-03-14,13:50:00,CUST1021,DRV360, Sedan ,INDIRANAGAR,jp nagar,8.4,Success,,UPI,145.64,3.0,5.0,21.1
OLA101058,2024-03-03,18:21:00,CUST1151,DRV427, Sedan ,KR Puram,Marathahalli,18.8,Success,,UPI,295.25,5.0,5.0,42.2
OLA101017,2024-06-23,18:13:00,CUST1175,DRV457,SUV,Marathahalli,Whitefield,3.5,Success,,Ola Money,93.4,4.6,3.1,13.5
OLA100167,2024-06-13,18:16:00,CUST1312,DRV447,Mini,BTM Layout,Hebbal,3.4,Success,,UPI,69.14,4.1,4.1,10.2
OLA101286,2024-04-22,18:27:00,CUST1390,, Mini ,JP Nagar,Domlur,,Driver Not Found,No drivers available in area,,0.0,,,0.0
OLA100762,2024-04-18,09:23:00,CUST1408,DRV264,SUV,Domlur,Sarjapur Road,2.0,Success,,UPI,57.66,3.2,4.9,9.5
OLA101363,2024-02-12,18:51:00,CUST1326,DRV499,MINI,Jayanagar,Malleshwaram,6.6,Success,,UPI,116.19,4.2,5.0,18.9
OLA100425,2024-06-07,19:49:00,CUST1317,DRV322,sedan,whitefield,sarjapur road,4.7,Success,,UPI,105.37,4.4,4.0,16.8
OLA100033,2024-02-27,02:12:00,CUST1204,DRV368,Mini,Whitefield,HEBBAL,7.1,Success,,upi,103.63,4.3,4.4,22.5
OLA100092,2024-03-18,16:07:00,CUST1071,DRV223,BIKE,Hebbal,Malleshwaram,2.6,Success,,UPI,34.08,4.6,4.3,10.4
OLA101452,2024-03-13,09:54:00,CUST1266,DRV468,SUV,Bellandur,Domlur,10.8,Success,,CREDIT CARD,228.0,5.0,4.5,40.2
OLA100428,2024-02-23,17:59:00,CUST1426,DRV240,Sedan,Indiranagar,Bellandur,3.8,Cancelled by Driver,Personal emergency,,0.0,,,0.0
OLA101219,2024-02-12,20:30:00,CUST1287,DRV505,MINI,BTM Layout,whitefield,2.6,Cancelled by Driver,Vehicle breakdown,,0.0,,,0.0
OLA100422,2024-06-14,18:51:00,CUST1224,DRV298,Mini,BELLANDUR,BANASHANKARI,4.0,Success,,cash,80.73,,,19.2
OLA100437,2024-01-21,18:58:00,CUST1394,DRV371,SEDAN,RAJAJINAGAR,KR Puram,5.4,Success,,Ola Money,118.51,4.5,5.0,17.7
OLA101051,2024-03-04,07:40:00,CUST1241,DRV246,Prime,koramangala,Rajajinagar,4.7,Cancelled by Customer,Driver taking too long,,0.0,,,0.0
OLA100134,2024-04-16,08:42:00,CUST1043,DRV468,Prime,whitefield,JP Nagar,1.3,Cancelled by Customer,Price too high,,0.0,,,0.0
OLA101176,2024-01-30,17:09:00,CUST1227,DRV249,Auto,Electronic City,Rajajinagar,6.8,Success,,Wallet,83.58,4.1,4.0,19.7
OLA100405,2024-05-30,14:28:00,CUST1211,DRV285,Mini,Koramangala,HSR Layout,5.3,Success,,UPI,95.13,5.0,4.1,16.4
OLA101074,2024-04-16,18:17:00,CUST1117,DRV334,Sedan,HEBBAL,Bellandur,12.5,Success,,Cash,194.35,5.0,4.7,39.1
OLA100008,2024-06-13,12:16:00,CUST1071,DRV326,Auto, JP Nagar ,Marathahalli,4.3,Success,,Wallet,71.81,3.9,4.3,14.0
OLA100878,2024-05-23,05:18:00,CUST1308,DRV308,SUV,MG Road,Sarjapur Road,7.4,Success,,UPI,156.54,3.6,4.4,21.8
OLA100434,2024-02-26,08:20:00,CUST1011,DRV341, Bike ,Malleshwaram,sarjapur road,2.5,Success,,UPI,47.12,5.0,3.8,12.5
OLA101435,2024-03-28,19:17:00,CUST1128,DRV293,Bike, Bellandur , Airport (KIA) ,5.0,Success,,UPI,62.81,3.8,4.4,20.0
OLA100725,2024-04-22,10:13:00,CUST1365,DRV217,Bike,JP Nagar,Jayanagar,7.2,Success,, Credit Card ,71.46,4.9,5.0,21.2
OLA101068,2024-06-02,13:36:00,CUST1004,DRV497,Sedan,MG Road,Airport (KIA),7.4,Success,,cash,141.92,4.4,4.1,20.9
