Booking ID,Booking Date,Booking Time,Customer ID,Driver ID,Vehicle Type,Pickup Location,Drop Location,Ride Distance (km),Booking Status,Cancellation Reason,Payment Method,Booking Value (INR),Driver Rating,Customer Rating,Ride Duration (min),Booking Day,Booking Month,Booking Week,Is Weekend,Booking Hour,Is Cancelled,Revenue per KM,Validation Flag
OLA100021,2024-06-27,21:50:00,CUST1284,DRV449,Mini,Hebbal,Jayanagar,5.9,Success,Not Applicable,UPI,108.96,5.0,4.2,20.3,Thursday,June,26,No,21,No,18.47,OK
OLA100022,2024-05-29,13:58:00,CUST1436,DRV471,Mini,Malleshwaram,Whitefield,5.8,Success,Not Applicable,Cash,104.34,4.4,4.3,25.5,Wednesday,May,22,No,13,No,17.99,OK
OLA100023,2024-05-25,08:38:00,CUST1020,DRV517,Mini,Sarjapur Road,Domlur,6.4,Cancelled by Driver,Customer not reachable,Not Applicable,0.0,,,0.0,Saturday,May,21,Yes,8,Yes,0.0,OK
OLA100024,2024-06-20,17:15:00,CUST1135,DRV402,Mini,Hebbal,Airport (KIA),1.5,Success,Not Applicable,Wallet,40.99,5.0,4.1,9.5,Thursday,June,25,No,17,No,27.33,OK
OLA100025,2024-01-26,06:13:00,CUST1259,DRV335,Mini,Banashankari,Whitefield,3.5,Success,Not Applicable,Credit Card,79.88,4.0,4.7,17.4,Friday,January,4,No,6,No,22.82,OK
OLA100026,2024-06-05,22:51:00,CUST1334,DRV470,Mini,JP Nagar,Hebbal,11.8,Success,Not Applicable,Ola Money,172.75,4.0,4.7,27.0,Wednesday,June,23,No,22,No,14.64,OK
OLA100027,2024-05-21,07:18:00,CUST1309,DRV307,Auto,Jayanagar,Hebbal,6.4,Success,Not Applicable,Credit Card,81.36,4.9,4.2,14.8,Tuesday,May,21,No,7,No,12.71,OK
OLA100028,2024-03-11,04:21:00,CUST1394,DRV266,Auto,Marathahalli,HSR Layout,9.0,Success,Not Applicable,UPI,109.24,4.1,3.7,24.6,Monday,March,11,No,4,No,12.14,OK
OLA100029,2024-06-25,20:34:00,CUST1018,DRV389,SUV,Electronic City,KR Puram,7.2,Success,Not Applicable,Ola Money,148.42,4.5,3.1,20.9,Tuesday,June,26,No,20,No,20.61,OK
OLA100030,2024-04-01,08:15:00,CUST1341,DRV252,Sedan,JP Nagar,Rajajinagar,7.5,Success,Not Applicable,UPI,149.22,4.1,4.0,18.0,Monday,April,14,No,8,No,19.9,OK
OLA100031,2024-02-15,19:01:00,CUST1091,DRV370,Auto,Rajajinagar,BTM Layout,5.4,Cancelled by Customer,Change of plans,Not Applicable,0.0,,,0.0,Thursday,February,7,No,19,Yes,0.0,OK
OLA100033,2024-02-27,02:12:00,CUST1204,DRV368,Mini,Whitefield,Hebbal,7.1,Success,Not Applicable,UPI,103.63,4.3,4.4,22.5,Tuesday,February,9,No,2,No,14.6,OK
OLA100034,2024-01-08,07:16:00,CUST1091,DRV497,Prime,Marathahalli,Indiranagar,1.9,Success,Not Applicable,Credit Card,56.25,4.3,5.0,7.9,Monday,January,2,No,7,No,29.61,OK
OLA100035,2024-05-10,07:57:00,CUST1295,DRV297,Mini,Rajajinagar,Koramangala,5.3,Cancelled by Customer,Wrong pickup location,Not Applicable,0.0,,,0.0,Friday,May,19,No,7,Yes,0.0,OK
OLA100036,2024-06-20,08:27:00,CUST1035,DRV369,Auto,MG Road,Yelahanka,7.3,Success,Not Applicable,Cash,88.61,5.0,4.8,25.6,Thursday,June,25,No,8,No,12.14,OK
OLA100037,2024-02-19,12:24:00,CUST1346,DRV289,SUV,Hebbal,Rajajinagar,9.7,Success,Not Applicable,Cash,206.04,3.8,5.0,31.0,Monday,February,8,No,12,No,21.24,OK
OLA100038,2024-06-16,09:28:00,CUST1226,DRV309,SUV,HSR Layout,Whitefield,13.4,Success,Not Applicable,Wallet,264.71,3.7,4.1,32.7,Sunday,June,24,Yes,9,No,19.75,OK
OLA100039,2024-03-01,17:14:00,CUST1412,DRV301,Mini,Indiranagar,Marathahalli,6.4,Success,Not Applicable,Ola Money,114.92,4.0,4.4,18.1,Friday,March,9,No,17,No,17.96,OK
OLA100040,2024-05-27,08:44:00,CUST1196,DRV453,Sedan,Electronic City,Koramangala,4.7,Cancelled by Customer,Change of plans,Not Applicable,0.0,,,0.0,Monday,May,22,No,8,Yes,0.0,OK
OLA100041,2024-04-18,08:51:00,CUST1356,DRV465,Sedan,JP Nagar,BTM Layout,2.9,Success,Not Applicable,Cash,83.12,4.6,4.7,13.5,Thursday,April,16,No,8,No,28.66,OK
OLA100042,2024-05-23,15:48:00,CUST1226,DRV513,Bike,Malleshwaram,Rajajinagar,5.4,Success,Not Applicable,Cash,72.32,3.8,4.2,17.1,Thursday,May,21,No,15,No,13.39,OK
OLA100043,2024-03-07,18:53:00,CUST1326,DRV341,Auto,Malleshwaram,Airport (KIA),9.8,Success,Not Applicable,UPI,112.2,3.6,5.0,34.5,Thursday,March,10,No,18,No,11.45,OK
OLA100044,2024-03-22,20:05:00,CUST1070,DRV277,Mini,Electronic City,BTM Layout,23.0,Success,Not Applicable,UPI,269.93,4.5,4.8,58.4,Friday,March,12,No,20,No,11.74,OK
OLA100045,2024-04-17,11:49:00,CUST1299,DRV210,Bike,Sarjapur Road,Bellandur,2.6,Cancelled by Driver,Too far from pickup,Not Applicable,0.0,,,0.0,Wednesday,April,16,No,11,Yes,0.0,OK
OLA100046,2024-04-09,19:53:00,CUST1214,DRV475,Auto,JP Nagar,BTM Layout,2.4,Success,Not Applicable,Credit Card,48.85,,,10.1,Tuesday,April,15,No,19,No,20.35,OK
OLA100047,2024-04-13,17:53:00,CUST1239,DRV265,Prime,JP Nagar,Koramangala,3.8,Success,Not Applicable,Cash,118.21,4.4,4.5,10.9,Saturday,April,15,Yes,17,No,31.11,OK
OLA100048,2024-04-28,07:16:00,CUST1194,DRV367,Mini,Yelahanka,Banashankari,10.0,Success,Not Applicable,UPI,147.84,4.5,4.0,28.0,Sunday,April,17,Yes,7,No,14.78,OK
OLA100049,2024-01-21,13:47:00,CUST1276,DRV226,Prime,Banashankari,BTM Layout,16.9,Cancelled by Customer,Wrong pickup location,Not Applicable,0.0,,,0.0,Sunday,January,3,Yes,13,Yes,0.0,OK
OLA100050,2024-01-11,18:15:00,CUST1102,DRV210,Auto,BTM Layout,Electronic City,8.1,Success,Not Applicable,UPI,94.01,3.7,4.8,20.3,Thursday,January,2,No,18,No,11.61,OK
OLA100051,2024-04-04,07:38:00,CUST1382,DRV258,Auto,HSR Layout,Yelahanka,6.0,Success,Not Applicable,Wallet,112.64,3.8,4.6,37.7,Thursday,April,14,No,7,No,18.77,OK
OLA100052,2024-04-11,21:12:00,CUST1038,DRV503,Auto,BTM Layout,MG Road,10.5,Success,Not Applicable,Debit Card,119.92,4.2,4.0,29.7,Thursday,April,15,No,21,No,11.42,OK
OLA100053,2024-05-24,18:22:00,CUST1272,DRV419,Auto,Whitefield,JP Nagar,3.3,Success,Not Applicable,Cash,60.83,3.8,4.8,13.2,Friday,May,21,No,18,No,18.43,OK
OLA100054,2024-04-02,16:53:00,CUST1235,DRV278,Sedan,Malleshwaram,Marathahalli,5.2,Cancelled by Driver,Personal emergency,Not Applicable,0.0,,,0.0,Tuesday,April,14,No,16,Yes,0.0,OK
OLA100055,2024-04-29,12:46:00,CUST1303,DRV337,Sedan,BTM Layout,Whitefield,6.1,Success,Not Applicable,Credit Card,108.77,5.0,3.7,18.3,Monday,April,18,No,12,No,17.83,OK
OLA100056,2024-03-27,02:54:00,CUST1166,DRV293,Sedan,Banashankari,Marathahalli,5.9,Cancelled by Driver,Too far from pickup,Not Applicable,0.0,,,0.0,Wednesday,March,13,No,2,Yes,0.0,OK
OLA100057,2024-05-22,00:12:00,CUST1043,DRV323,Auto,Airport (KIA),Sarjapur Road,2.9,Success,Not Applicable,Debit Card,60.94,4.6,4.3,11.4,Wednesday,May,21,No,0,No,21.01,OK
OLA100058,2024-01-24,09:25:00,CUST1354,DRV324,Sedan,Sarjapur Road,Banashankari,9.4,Success,Not Applicable,UPI,160.8,3.8,3.6,30.0,Wednesday,January,4,No,9,No,17.11,OK
OLA100059,2024-06-28,12:19:00,CUST1128,DRV318,Mini,Jayanagar,Banashankari,4.5,Success,Not Applicable,UPI,68.09,4.8,4.8,12.5,Friday,June,26,No,12,No,15.13,OK
OLA100060,2024-05-03,09:37:00,CUST1389,DRV468,SUV,MG Road,BTM Layout,6.4,Success,Not Applicable,UPI,139.09,3.8,4.5,23.5,Friday,May,18,No,9,No,21.73,OK
OLA100061,2024-01-12,22:35:00,CUST1149,DRV264,Auto,Airport (KIA),MG Road,6.3,Success,Not Applicable,UPI,91.58,3.6,4.8,20.0,Friday,January,2,No,22,No,14.54,OK
OLA100062,2024-01-14,08:55:00,CUST1244,DRV258,Bike,Bellandur,Malleshwaram,11.3,Success,Not Applicable,Cash,85.02,3.5,3.9,39.1,Sunday,January,2,Yes,8,No,7.52,OK
OLA100063,2024-03-18,06:15:00,CUST1060,DRV485,Auto,Domlur,BTM Layout,8.3,Success,Not Applicable,Cash,104.67,4.6,4.4,20.0,Monday,March,12,No,6,No,12.61,OK
OLA100064,2024-04-19,09:39:00,CUST1030,DRV512,Prime,MG Road,BTM Layout,10.1,Success,Not Applicable,Cash,235.77,4.6,5.0,35.1,Friday,April,16,No,9,No,23.34,OK
OLA100065,2024-02-10,00:28:00,CUST1352,DRV504,Sedan,Indiranagar,Marathahalli,10.6,Success,Not Applicable,UPI,172.04,4.7,3.8,23.6,Saturday,February,6,Yes,0,No,16.23,OK
OLA100066,2024-03-08,18:40:00,CUST1301,DRV301,Sedan,JP Nagar,BTM Layout,2.1,Cancelled by Driver,Customer not reachable,Not Applicable,0.0,,,0.0,Friday,March,10,No,18,Yes,0.0,OK
OLA100067,2024-01-19,05:50:00,CUST1157,DRV504,Auto,Sarjapur Road,Hebbal,4.4,Success,Not Applicable,UPI,63.37,4.3,3.5,16.3,Friday,January,3,No,5,No,14.4,OK
OLA100068,2024-05-18,13:05:00,CUST1306,DRV220,Bike,Yelahanka,Marathahalli,7.5,Success,Not Applicable,Cash,60.78,4.0,4.9,23.6,Saturday,May,20,Yes,13,No,8.1,OK
OLA100069,2024-01-06,23:43:00,CUST1420,DRV337,SUV,HSR Layout,Malleshwaram,6.3,Success,Not Applicable,Cash,143.97,3.7,4.7,25.2,Saturday,January,1,Yes,23,No,22.85,OK
OLA100070,2024-05-05,21:30:00,CUST1178,DRV409,Sedan,MG Road,Jayanagar,2.5,Success,Not Applicable,Debit Card,59.89,4.3,4.1,14.5,Sunday,May,18,Yes,21,No,23.96,OK
OLA100071,2024-05-20,03:05:00,CUST1161,DRV329,Sedan,Bellandur,JP Nagar,5.8,Success,Not Applicable,UPI,309.95,4.7,4.4,43.2,Monday,May,21,No,3,No,53.44,OK
OLA100072,2024-05-12,10:48:00,CUST1255,DRV520,Sedan,Indiranagar,BTM Layout,7.9,Success,Not Applicable,Cash,133.61,3.9,4.8,28.8,Sunday,May,19,Yes,10,No,16.91,OK
OLA100073,2024-01-08,22:38:00,CUST1409,DRV322,Auto,Hebbal,Sarjapur Road,3.5,Success,Not Applicable,UPI,43.41,4.2,4.0,17.0,Monday,January,2,No,22,No,12.4,OK
OLA100074,2024-01-31,16:09:00,CUST1255,Not Assigned,SUV,Marathahalli,KR Puram,15.3,Driver Not Found,No drivers available in area,Not Applicable,0.0,,,0.0,Wednesday,January,5,No,16,Yes,0.0,OK
OLA100075,2024-03-03,12:09:00,CUST1196,DRV297,Bike,Malleshwaram,Electronic City,4.4,Success,Not Applicable,Ola Money,67.32,3.9,4.9,13.6,Sunday,March,9,Yes,12,No,15.3,OK
OLA100076,2024-05-09,08:00:00,CUST1144,DRV352,Bike,Sarjapur Road,Airport (KIA),12.5,Success,Not Applicable,Debit Card,115.96,5.0,4.9,34.3,Thursday,May,19,No,8,No,9.28,OK
OLA100077,2024-04-06,12:20:00,CUST1445,DRV296,Prime,BTM Layout,Domlur,2.1,Cancelled by Customer,Found alternate transport,Not Applicable,0.0,,,0.0,Saturday,April,14,Yes,12,Yes,0.0,OK
OLA100078,2024-01-12,09:30:00,CUST1361,DRV395,Sedan,Electronic City,Malleshwaram,4.4,Success,Not Applicable,UPI,105.54,4.6,4.8,12.4,Friday,January,2,No,9,No,23.99,OK
OLA100079,2024-04-22,06:58:00,CUST1233,DRV207,Auto,Rajajinagar,Electronic City,3.2,Cancelled by Customer,Booked by mistake,Not Applicable,0.0,,,0.0,Monday,April,17,No,6,Yes,0.0,OK
OLA100080,2024-03-27,16:25:00,CUST1332,DRV241,Bike,JP Nagar,Bellandur,5.8,Success,Not Applicable,Cash,78.42,4.1,3.8,16.4,Wednesday,March,13,No,16,No,13.52,OK
OLA100081,2024-06-07,05:40:00,CUST1350,DRV347,Prime,Whitefield,KR Puram,15.1,Success,Not Applicable,UPI,346.35,3.4,4.3,35.1,Friday,June,23,No,5,No,22.94,OK
OLA100082,2024-03-17,20:02:00,CUST1166,DRV228,Mini,Banashankari,KR Puram,4.4,Success,Not Applicable,UPI,67.77,5.0,4.4,16.9,Sunday,March,11,Yes,20,No,15.4,OK
OLA100083,2024-01-21,16:24:00,CUST1317,DRV323,Sedan,Sarjapur Road,Electronic City,3.1,Success,Not Applicable,Ola Money,65.37,4.6,4.3,13.6,Sunday,January,3,Yes,16,No,21.09,OK
OLA100084,2024-04-29,20:43:00,CUST1279,Not Assigned,Mini,Banashankari,Domlur,6.3,Driver Not Found,No drivers available in area,Not Applicable,0.0,,,0.0,Monday,April,18,No,20,Yes,0.0,OK
OLA100085,2024-06-25,08:54:00,CUST1154,DRV301,Prime,Airport (KIA),MG Road,6.5,Success,Not Applicable,UPI,152.12,4.7,4.1,22.9,Tuesday,June,26,No,8,No,23.4,OK
OLA100086,2024-06-17,11:00:00,CUST1289,DRV225,Bike,Airport (KIA),Hebbal,19.0,Success,Not Applicable,UPI,152.27,4.2,4.7,42.3,Monday,June,25,No,11,No,8.01,OK
OLA100087,2024-03-05,17:46:00,CUST1392,DRV270,Auto,Indiranagar,Yelahanka,7.2,Success,Not Applicable,Ola Money,96.26,3.9,4.8,21.5,Tuesday,March,10,No,17,No,13.37,OK
OLA100088,2024-03-24,18:11:00,CUST1102,DRV267,Auto,Banashankari,JP Nagar,4.4,Success,Not Applicable,Wallet,65.25,3.9,4.8,20.5,Sunday,March,12,Yes,18,No,14.83,OK
OLA100089,2024-03-16,18:21:00,CUST1411,DRV258,Sedan,Whitefield,HSR Layout,7.5,Success,Not Applicable,Cash,142.62,3.9,4.6,22.4,Saturday,March,11,Yes,18,No,19.02,OK
OLA100090,2024-05-22,10:50:00,CUST1202,DRV207,Mini,MG Road,Airport (KIA),8.6,Success,Not Applicable,Credit Card,120.66,3.8,4.1,28.1,Wednesday,May,21,No,10,No,14.03,OK
OLA100091,2024-04-05,06:14:00,CUST1241,DRV212,SUV,JP Nagar,Yelahanka,9.4,Success,Not Applicable,Ola Money,211.66,4.7,3.5,36.8,Friday,April,14,No,6,No,22.52,OK
OLA100092,2024-03-18,16:07:00,CUST1071,DRV223,Bike,Hebbal,Malleshwaram,2.6,Success,Not Applicable,UPI,34.08,4.6,4.3,10.4,Monday,March,12,No,16,No,13.11,OK
OLA100093,2024-06-27,21:26:00,CUST1300,DRV279,Bike,MG Road,Malleshwaram,5.2,Cancelled by Driver,Too far from pickup,Not Applicable,0.0,,,0.0,Thursday,June,26,No,21,Yes,0.0,OK
OLA100094,2024-01-09,17:13:00,CUST1227,DRV427,Prime,Banashankari,MG Road,11.5,Success,Not Applicable,UPI,274.43,5.0,4.4,28.4,Tuesday,January,2,No,17,No,23.86,OK
OLA100095,2024-03-11,08:07:00,CUST1434,DRV432,Mini,Jayanagar,Koramangala,9.1,Success,Not Applicable,UPI,116.62,4.1,4.3,23.9,Monday,March,11,No,8,No,12.82,OK
OLA100096,2024-05-21,08:13:00,CUST1416,Not Assigned,Sedan,Electronic City,Koramangala,4.0,Driver Not Found,No drivers available in area,Not Applicable,0.0,,,0.0,Tuesday,May,21,No,8,Yes,0.0,OK
OLA100097,2024-02-03,14:51:00,CUST1089,DRV256,Auto,Koramangala,HSR Layout,6.4,Cancelled by Customer,Driver taking too long,Not Applicable,0.0,,,0.0,Saturday,February,5,Yes,14,Yes,0.0,OK
OLA100098,2024-05-30,09:11:00,CUST1135,DRV226,Mini,Rajajinagar,JP Nagar,8.7,Success,Not Applicable,Cash,114.11,3.7,3.8,25.7,Thursday,May,22,No,9,No,13.12,OK
OLA100099,2024-04-25,13:39:00,CUST1022,DRV466,Sedan,Koramangala,Whitefield,11.8,Cancelled by Customer,Found alternate transport,Not Applicable,0.0,,,0.0,Thursday,April,17,No,13,Yes,0.0,OK
OLA100100,2024-06-24,06:45:00,CUST1227,DRV237,Bike,Yelahanka,Electronic City,9.7,Success,Not Applicable,UPI,75.17,4.3,4.0,27.0,Monday,June,26,No,6,No,7.75,OK
OLA100101,2024-06-01,14:29:00,CUST1258,DRV509,Sedan,MG Road,Sarjapur Road,6.3,Success,Not Applicable,UPI,124.83,3.9,4.2,18.9,Saturday,June,22,Yes,14,No,19.81,OK
OLA100102,2024-04-26,11:46:00,CUST1048,DRV360,Sedan,Marathahalli,Bellandur,9.7,Success,Not Applicable,UPI,179.41,4.5,4.1,26.2,Friday,April,17,No,11,No,18.5,OK
OLA100103,2024-04-20,06:47:00,CUST1190,DRV266,SUV,Sarjapur Road,JP Nagar,3.5,Success,Not Applicable,Wallet,94.85,4.4,4.2,16.1,Saturday,April,16,Yes,6,No,27.1,OK
OLA100104,2024-04-18,19:46:00,CUST1026,DRV347,SUV,Banashankari,MG Road,6.6,Success,Not Applicable,UPI,154.74,4.0,4.5,18.3,Thursday,April,16,No,19,No,23.45,OK
OLA100105,2024-05-22,10:48:00,CUST1142,DRV493,Mini,Rajajinagar,Sarjapur Road,2.2,Cancelled by Customer,Price too high,Not Applicable,0.0,,,0.0,Wednesday,May,21,No,10,Yes,0.0,OK
OLA100106,2024-06-21,16:01:00,CUST1311,DRV336,Mini,Marathahalli,Yelahanka,2.3,Success,Not Applicable,Credit Card,67.95,3.9,4.3,9.6,Friday,June,25,No,16,No,29.54,OK
OLA100107,2024-01-18,07:40:00,CUST1015,DRV246,Auto,Jayanagar,Rajajinagar,7.3,Success,Not Applicable,Debit Card,85.99,5.0,4.2,25.2,Thursday,January,3,No,7,No,11.78,OK
OLA100108,2024-05-25,15:56:00,CUST1026,DRV279,Mini,Domlur,Indiranagar,6.0,Success,Not Applicable,Cash,101.22,4.5,4.0,18.1,Saturday,May,21,Yes,15,No,16.87,OK
OLA100109,2024-03-10,08:32:00,CUST1058,DRV376,Sedan,Hebbal,Domlur,8.3,Success,Not Applicable,Cash,145.8,5.0,3.7,31.1,Sunday,March,10,Yes,8,No,17.57,OK
OLA100110,2024-01-02,08:13:00,CUST1392,DRV270,Auto,Hebbal,Banashankari,3.4,Success,Not Applicable,Cash,45.8,4.4,4.4,11.3,Tuesday,January,1,No,8,No,13.47,OK
OLA100111,2024-02-28,13:53:00,CUST1342,DRV381,Mini,Indiranagar,KR Puram,6.4,Cancelled by Driver,Too far from pickup,Not Applicable,0.0,,,0.0,Wednesday,February,9,No,13,Yes,0.0,OK
OLA100112,2024-05-27,12:25:00,CUST1363,DRV413,Mini,Bellandur,Koramangala,3.6,Success,Not Applicable,Credit Card,83.59,5.0,4.9,11.7,Monday,May,22,No,12,No,23.22,OK
OLA100113,2024-04-02,06:54:00,CUST1054,DRV324,Sedan,Bellandur,JP Nagar,19.3,Cancelled by Customer,Wrong pickup location,Not Applicable,0.0,,,0.0,Tuesday,April,14,No,6,Yes,0.0,OK
OLA100114,2024-03-27,08:49:00,CUST1086,DRV239,SUV,MG Road,JP Nagar,3.6,Cancelled by Driver,Too far from pickup,Not Applicable,0.0,,,0.0,Wednesday,March,13,No,8,Yes,0.0,OK
OLA100115,2024-03-30,18:52:00,CUST1330,DRV275,Mini,Electronic City,Hebbal,19.7,Success,Not Applicable,UPI,237.62,3.8,4.3,47.2,Saturday,March,13,Yes,18,No,12.06,OK
OLA100116,2024-06-09,13:48:00,CUST1288,DRV496,Sedan,Sarjapur Road,Yelahanka,2.4,Success,Not Applicable,Cash,74.53,3.8,4.5,9.6,Sunday,June,23,Yes,13,No,31.05,OK
OLA100117,2024-03-18,18:37:00,CUST1028,DRV380,SUV,Hebbal,Airport (KIA),7.4,Success,Not Applicable,Ola Money,161.76,5.0,4.7,17.4,Monday,March,12,No,18,No,21.86,OK
OLA100118,2024-01-24,16:32:00,CUST1196,DRV436,SUV,Indiranagar,Airport (KIA),10.7,Success,Not Applicable,Cash,234.87,3.5,5.0,36.7,Wednesday,January,4,No,16,No,21.95,OK
OLA100119,2024-01-16,12:51:00,CUST1428,DRV375,Prime,Whitefield,JP Nagar,12.0,Success,Not Applicable,Cash,274.38,4.0,4.5,33.7,Tuesday,January,3,No,12,No,22.86,OK
OLA100120,2024-06-05,07:23:00,CUST1144,DRV398,Sedan,Yelahanka,Indiranagar,2.9,Success,Not Applicable,Credit Card,79.28,4.2,5.0,11.8,Wednesday,June,23,No,7,No,27.34,OK
OLA100121,2024-03-13,08:54:00,CUST1336,DRV508,Bike,Yelahanka,Whitefield,2.0,Success,Not Applicable,Credit Card,44.48,3.9,4.5,13.0,Wednesday,March,11,No,8,No,22.24,OK
OLA100122,2024-04-10,07:45:00,CUST1043,DRV358,SUV,Yelahanka,Electronic City,7.3,Cancelled by Customer,Wrong pickup location,Not Applicable,0.0,,,0.0,Wednesday,April,15,No,7,Yes,0.0,OK
OLA100123,2024-06-24,20:05:00,CUST1330,Not Assigned,SUV,Koramangala,Bellandur,6.0,Driver Not Found,No drivers available in area,Not Applicable,0.0,,,0.0,Monday,June,26,No,20,Yes,0.0,OK
OLA100124,2024-03-28,21:31:00,CUST1098,DRV315,Prime,Electronic City,Whitefield,6.2,Cancelled by Customer,Price too high,Not Applicable,0.0,,,0.0,Thursday,March,13,No,21,Yes,0.0,OK
OLA100125,2024-05-18,19:56:00,CUST1269,DRV219,Auto,Domlur,Electronic City,4.5,Success,Not Applicable,Credit Card,68.92,4.7,3.7,19.3,Saturday,May,20,Yes,19,No,15.32,OK
OLA100126,2024-02-12,17:02:00,CUST1210,DRV386,Auto,BTM Layout,Airport (KIA),8.4,Success,Not Applicable,UPI,100.52,3.4,5.0,20.8,Monday,February,7,No,17,No,11.97,OK
OLA100127,2024-04-30,20:12:00,CUST1188,DRV492,Prime,KR Puram,Hebbal,7.4,Success,Not Applicable,UPI,186.34,3.9,4.5,21.6,Tuesday,April,18,No,20,No,25.18,OK
OLA100128,2024-06-03,07:16:00,CUST1026,DRV446,Bike,JP Nagar,MG Road,14.5,Success,Not Applicable,UPI,123.34,5.0,5.0,46.6,Monday,June,23,No,7,No,8.51,OK
OLA100129,2024-04-25,20:09:00,CUST1425,DRV423,Mini,BTM Layout,Airport (KIA),5.1,Cancelled by Driver,Personal emergency,Not Applicable,0.0,,,0.0,Thursday,April,17,No,20,Yes,0.0,OK
